NASAThes URI:	NASAThes term	Similarity	SWEET term	SWEET URI
http://synaptica.net/zthes/60970	bulk modulus	1.00	bulk modulus	http://sweetontology.net/proppressure/bulkmodulus
http://synaptica.net/zthes/39765	buoyancy	1.00	buoyancy	http://sweetontology.net/phenfluidtransport/buoyancy
http://synaptica.net/zthes/182569	burning	1.00	burning	http://sweetontology.net/procchemical/burning
http://synaptica.net/zthes/182569	burning	1.00	burning	http://sweetontology.net/procphysical/burning
http://synaptica.net/zthes/39797	c band	1.00	c band	http://sweetontology.net/statespectralband/cband
http://synaptica.net/zthes/39830	cadmium	1.00	cadmium	http://sweetontology.net/matrelement/cadmium
http://synaptica.net/zthes/39844	calcification	1.00	calcification	http://sweetontology.net/procchemical/calcification
http://synaptica.net/zthes/182585	calcination	1.00	calcination	http://sweetontology.net/procchemical/calcination
http://synaptica.net/zthes/39845	calcite	1.00	calcite	http://sweetontology.net/matrmineral/calcite
http://synaptica.net/zthes/39846	calcium	1.00	calcium	http://sweetontology.net/matrelement/calcium
http://synaptica.net/zthes/39900	cancer	1.00	cancer	http://sweetontology.net/phenbiol/cancer
http://synaptica.net/zthes/60987	capacitance	1.00	capacitance	http://sweetontology.net/propcharge/capacitance
http://synaptica.net/zthes/39941	carbon	1.00	carbon	http://sweetontology.net/matrelement/carbon
http://synaptica.net/zthes/60993	carbon cycle	1.00	carbon cycle	http://sweetontology.net/phencyclematerial/carboncycle
http://synaptica.net/zthes/39945	carbon dioxide	1.00	carbon dioxide	http://sweetontology.net/matrcompound/carbondioxide
http://synaptica.net/zthes/39955	carbon monoxide	1.00	carbon monoxide	http://sweetontology.net/matrcompound/carbonmonoxide
http://synaptica.net/zthes/39963	carbon tetrafluoride	1.00	carbon tetrafluoride	http://sweetontology.net/matrorganiccompound/carbontetrafluoride
http://synaptica.net/zthes/39974	carbonic acid	1.00	carbonic acid	http://sweetontology.net/matrcompound/carbonicacid
http://synaptica.net/zthes/40005	caribbean sea	1.00	caribbean sea	http://sweetontology.net/realmoceanfeature/caribbeansea
http://synaptica.net/zthes/40083	causes	1.00	causes	http://sweetontology.net/relasci/causes
http://synaptica.net/zthes/40140	cementation	1.00	cementation	http://sweetontology.net/phensolid/cementation
http://synaptica.net/zthes/40145	census	1.00	census	http://sweetontology.net/human/census
http://synaptica.net/zthes/61031	center of mass	1.00	center of mass	http://sweetontology.net/propspacelocation/centerofmass
http://synaptica.net/zthes/61034	centrifugal force	1.00	centrifugal force	http://sweetontology.net/procphysical/centrifugalforce
http://synaptica.net/zthes/40173	centripetal force	1.00	centripetal force	http://sweetontology.net/procphysical/centripetalforce
http://synaptica.net/zthes/61045	chandler wobble	1.00	chandler wobble	http://sweetontology.net/phencycle/chandlerwobble
http://synaptica.net/zthes/40259	chaos	1.00	chaos	http://sweetontology.net/statesystem/chaos
http://synaptica.net/zthes/40271	charge distribution	1.00	charge distribution	http://sweetontology.net/propcharge/chargedistribution
http://synaptica.net/zthes/61051	charge exchange	1.00	charge exchange	http://sweetontology.net/procchemical/chargeexchange
http://synaptica.net/zthes/61060	chemical energy	1.00	chemical energy	http://sweetontology.net/propenergy/chemicalenergy
http://synaptica.net/zthes/40362	chlorine	1.00	chlorine	http://sweetontology.net/matrelement/chlorine
http://synaptica.net/zthes/182689	choice	1.00	choice	http://sweetontology.net/humandecision/choice
http://synaptica.net/zthes/40397	chromium	1.00	chromium	http://sweetontology.net/matrelement/chromium
http://synaptica.net/zthes/61083	chromosphere	1.00	chromosphere	http://sweetontology.net/realmastrostar/chromosphere
http://synaptica.net/zthes/40412	chronology	1.00	chronology	http://sweetontology.net/reprsciprovenance/chronology
http://synaptica.net/zthes/61088	circulation	1.00	circulation	http://sweetontology.net/phenfluiddynamics/circulation
http://synaptica.net/zthes/61088	circulation	1.00	circulation	http://sweetontology.net/proprotation/circulation
http://synaptica.net/zthes/40458	civil aviation	1.00	civil aviation	http://sweetontology.net/humantransportation/civilaviation
http://synaptica.net/zthes/40487	cleavage	1.00	cleavage	http://sweetontology.net/phensolid/cleavage
http://synaptica.net/zthes/40490	climate	1.00	climate	http://sweetontology.net/phenplanetclimate/climate
http://synaptica.net/zthes/40491	climate change	1.00	climate change	http://sweetontology.net/phenplanetclimate/climatechange
http://synaptica.net/zthes/61103	climatology	1.00	climatology	http://sweetontology.net/humanknowledgedomain/climatology
http://synaptica.net/zthes/182712	clogging	1.00	clogging	http://sweetontology.net/procphysical/clogging
http://synaptica.net/zthes/40512	cloud cover	1.00	cloud cover	http://sweetontology.net/propfraction/cloudcover
http://synaptica.net/zthes/61107	cloud seeding	1.00	cloud seeding	http://sweetontology.net/humanenvircontrol/cloudseeding
http://synaptica.net/zthes/61114	coal	1.00	coal	http://sweetontology.net/matrnaturalresource/coal
http://synaptica.net/zthes/182722	coalescence	1.00	coalescence	http://sweetontology.net/phensolid/coalescence
http://synaptica.net/zthes/40631	collapse	1.00	collapse	http://sweetontology.net/phensystemcomplexity/collapse
http://synaptica.net/zthes/40633	collection	1.00	collection	http://sweetontology.net/phensystem/collection
http://synaptica.net/zthes/40633	collection	1.00	collection	http://sweetontology.net/reprdataproduct/collection
http://synaptica.net/zthes/40633	collection	1.00	collection	http://sweetontology.net/reprmath/collection
http://synaptica.net/zthes/40650	color	1.00	color	http://sweetontology.net/propordinal/color
http://synaptica.net/zthes/61151	combustion	1.00	combustion	http://sweetontology.net/procchemical/combustion
http://synaptica.net/zthes/40710	comminution	1.00	comminution	http://sweetontology.net/phensolid/comminution
http://synaptica.net/zthes/40716	communication	1.00	communication	http://sweetontology.net/matrequipment/communication
http://synaptica.net/zthes/40741	competition	1.00	competition	http://sweetontology.net/phenecology/competition
http://synaptica.net/zthes/61176	compressibility	1.00	compressibility	http://sweetontology.net/proppressure/compressibility
http://synaptica.net/zthes/61180	compressive strength	1.00	compressive strength	http://sweetontology.net/proppressure/compressivestrength
http://synaptica.net/zthes/61211	condensation nuclei	1.00	condensation nuclei	http://sweetontology.net/matraerosol/condensationnuclei
http://synaptica.net/zthes/182789	conductance	1.00	conductance	http://sweetontology.net/propconductivity/conductance
http://synaptica.net/zthes/182793	confluence	1.00	confluence	http://sweetontology.net/propdiffusivity/confluence
http://synaptica.net/zthes/40898	conservation	1.00	conservation	http://sweetontology.net/humanenvirconservation/conservation
http://synaptica.net/zthes/61223	consistency	1.00	consistency	http://sweetontology.net/propmass/consistency
http://synaptica.net/zthes/40903	consolidation	1.00	consolidation	http://sweetontology.net/phensolid/consolidation
http://synaptica.net/zthes/40903	consolidation	1.00	consolidation	http://sweetontology.net/procphysical/consolidation
http://synaptica.net/zthes/40914	construction	1.00	construction	http://sweetontology.net/humancommerce/construction
http://synaptica.net/zthes/40921	consumption	1.00	consumption	http://sweetontology.net/phenbiol/consumption
http://synaptica.net/zthes/40931	containment	1.00	containment	http://sweetontology.net/propspace/containment
http://synaptica.net/zthes/40933	contamination	1.00	contamination	http://sweetontology.net/phenenvirimpact/contamination
http://synaptica.net/zthes/40934	content	1.00	content	http://sweetontology.net/propmass/content
http://synaptica.net/zthes/40941	continuity	1.00	continuity	http://sweetontology.net/reprmathfunction/continuity
http://synaptica.net/zthes/61242	convection	1.00	convection	http://sweetontology.net/phenfluidtransport/convection
http://synaptica.net/zthes/61244	convergence	1.00	convergence	http://sweetontology.net/proptimefrequency/convergence
http://synaptica.net/zthes/41009	cooling	1.00	cooling	http://sweetontology.net/procphysical/cooling
http://synaptica.net/zthes/61247	coordinates	1.00	coordinates	http://sweetontology.net/repr/coordinates
http://synaptica.net/zthes/41021	copper	1.00	copper	http://sweetontology.net/matrelement/copper
http://synaptica.net/zthes/61250	coriolis effect	1.00	coriolis effect	http://sweetontology.net/procphysical/corioliseffect
http://synaptica.net/zthes/55522	coronal mass ejection	1.00	coronal mass ejection	http://sweetontology.net/phenstar/coronalmassejection
http://synaptica.net/zthes/61254	correction	1.00	correction	http://sweetontology.net/humanresearch/correction
http://synaptica.net/zthes/61255	correlation	1.00	correlation	http://sweetontology.net/propfraction/correlation
http://synaptica.net/zthes/61258	corrosion	1.00	corrosion	http://sweetontology.net/procchemical/corrosion
http://synaptica.net/zthes/182844	cost benefit analysis	1.00	cost benefit analysis	http://sweetontology.net/humanenvirassessment/costbenefitanalysis
http://synaptica.net/zthes/41157	covariance	1.00	covariance	http://sweetontology.net/propfraction/covariance
http://synaptica.net/zthes/61288	criteria	1.00	criteria	http://sweetontology.net/humandecision/criteria
http://synaptica.net/zthes/61291	critical point	1.00	critical point	http://sweetontology.net/propfunction/criticalpoint
http://synaptica.net/zthes/182872	croplands	1.00	croplands	http://sweetontology.net/realmbiolbiome/croplands
http://synaptica.net/zthes/41235	cross correlation	1.00	cross correlation	http://sweetontology.net/propfraction/crosscorrelation
http://synaptica.net/zthes/41253	crude oil	1.00	crude oil	http://sweetontology.net/matrnaturalresource/crudeoil
http://synaptica.net/zthes/41291	crystal structure	1.00	crystal structure	http://sweetontology.net/statesolid/crystalstructure
http://synaptica.net/zthes/41295	crystallization	1.00	crystallization	http://sweetontology.net/procchemical/crystallization
http://synaptica.net/zthes/41305	cultivation	1.00	cultivation	http://sweetontology.net/humanagriculture/cultivation
http://synaptica.net/zthes/41335	curvature	1.00	curvature	http://sweetontology.net/propspace/curvature
http://synaptica.net/zthes/41371	cyclogenesis	1.00	cyclogenesis	http://sweetontology.net/phenatmopressure/cyclogenesis
http://synaptica.net/zthes/61325	cyclotron frequency	1.00	cyclotron frequency	http://sweetontology.net/proprotation/cyclotronfrequency
http://synaptica.net/zthes/182909	d layer	1.00	d layer	http://sweetontology.net/realmastrohelio/dlayer
http://synaptica.net/zthes/182909	d layer	1.00	d layer	http://sweetontology.net/realmgeol/dlayer
http://synaptica.net/zthes/61334	damping	1.00	damping	http://sweetontology.net/procwave/damping
http://synaptica.net/zthes/64475	data mining	1.00	data mining	http://sweetontology.net/reprdataservicereduction/datamining
http://synaptica.net/zthes/41464	daytime	1.00	daytime	http://sweetontology.net/reprtimeday/daytime
http://synaptica.net/zthes/41479	death	1.00	death	http://sweetontology.net/phenbiol/death
http://synaptica.net/zthes/41482	debris	1.00	debris	http://sweetontology.net/matrsediment/debris
http://synaptica.net/zthes/61350	debye length	1.00	debye length	http://sweetontology.net/propspacedistance/debyelength
http://synaptica.net/zthes/61351	decay	1.00	decay	http://sweetontology.net/phensystemcomplexity/decay
http://synaptica.net/zthes/61354	declination	1.00	declination	http://sweetontology.net/reprspacecoordinate/declination
http://synaptica.net/zthes/41507	decomposition	1.00	decomposition	http://sweetontology.net/phenbiol/decomposition
http://synaptica.net/zthes/182964	decompression	1.00	decompression	http://sweetontology.net/procphysical/decompression
http://synaptica.net/zthes/41533	deflection	1.00	deflection	http://sweetontology.net/procphysical/deflection
http://synaptica.net/zthes/41539	deforestation	1.00	deforestation	http://sweetontology.net/phenenvirimpact/deforestation
http://synaptica.net/zthes/61363	deformation	1.00	deformation	http://sweetontology.net/phensolid/deformation
http://synaptica.net/zthes/41550	dehydration	1.00	dehydration	http://sweetontology.net/procchemical/dehydration
http://synaptica.net/zthes/61370	deionization	1.00	deionization	http://sweetontology.net/procstatechange/deionization
http://synaptica.net/zthes/41560	delay	1.00	delay	http://sweetontology.net/proptime/delay
http://synaptica.net/zthes/41613	deposition	1.00	deposition	http://sweetontology.net/phenfluidtransport/deposition
http://synaptica.net/zthes/41613	deposition	1.00	deposition	http://sweetontology.net/procstatechange/deposition
http://synaptica.net/zthes/41619	depth	1.00	depth	http://sweetontology.net/propspaceheight/depth
http://synaptica.net/zthes/41619	depth	1.00	depth	http://sweetontology.net/reprspacecoordinate/depth
http://synaptica.net/zthes/41624	desalinization	1.00	desalinization	http://sweetontology.net/procchemical/desalinization
http://synaptica.net/zthes/41627	descent	1.00	descent	http://sweetontology.net/humantransportation/descent
http://synaptica.net/zthes/61385	desertification	1.00	desertification	http://sweetontology.net/phenenvirimpact/desertification
http://synaptica.net/zthes/41644	destruction	1.00	destruction	http://sweetontology.net/phensystem/destruction
http://synaptica.net/zthes/61390	detachment	1.00	detachment	http://sweetontology.net/phengeolfault/detachment
http://synaptica.net/zthes/61394	deuterium	1.00	deuterium	http://sweetontology.net/matrisotope/deuterium
http://synaptica.net/zthes/61397	deviation	1.00	deviation	http://sweetontology.net/propdifference/deviation
http://synaptica.net/zthes/41669	dew	1.00	dew	http://sweetontology.net/matrwater/dew
http://synaptica.net/zthes/61398	dew point	1.00	dew point	http://sweetontology.net/proptemperature/dewpoint
http://synaptica.net/zthes/183011	dielectric constant	1.00	dielectric constant	http://sweetontology.net/propcharge/dielectricconstant
http://synaptica.net/zthes/41738	differential pressure	1.00	differential pressure	http://sweetontology.net/proppressure/differentialpressure
http://synaptica.net/zthes/61410	diffraction	1.00	diffraction	http://sweetontology.net/procwave/diffraction
http://synaptica.net/zthes/61416	diffusion	1.00	diffusion	http://sweetontology.net/phenmixing/diffusion
http://synaptica.net/zthes/61418	diffusivity	1.00	diffusivity	http://sweetontology.net/propdiffusivity/diffusivity
http://synaptica.net/zthes/41793	dilution	1.00	dilution	http://sweetontology.net/procchemical/dilution
http://synaptica.net/zthes/61434	discontinuity	1.00	discontinuity	http://sweetontology.net/reprmathfunction/discontinuity
http://synaptica.net/zthes/41863	disintegration	1.00	disintegration	http://sweetontology.net/phensolid/disintegration
http://synaptica.net/zthes/61442	displacement	1.00	displacement	http://sweetontology.net/phensystem/displacement
http://synaptica.net/zthes/41882	dissipation	1.00	dissipation	http://sweetontology.net/procwave/dissipation
http://synaptica.net/zthes/183049	dissolution	1.00	dissolution	http://sweetontology.net/procchemical/dissolution
http://synaptica.net/zthes/41886	distance	1.00	distance	http://sweetontology.net/propspacedistance/distance
http://synaptica.net/zthes/41888	distillation	1.00	distillation	http://sweetontology.net/humanenvircontrol/distillation
http://synaptica.net/zthes/61446	distortion	1.00	distortion	http://sweetontology.net/phensolid/distortion
http://synaptica.net/zthes/61446	distortion	1.00	distortion	http://sweetontology.net/phenwavenoise/distortion
http://synaptica.net/zthes/61446	distortion	1.00	distortion	http://sweetontology.net/prop/distortion
http://synaptica.net/zthes/61450	divergence	1.00	divergence	http://sweetontology.net/proptimefrequency/divergence
http://synaptica.net/zthes/61453	documentation	1.00	documentation	http://sweetontology.net/reprsciprovenance/documentation
http://synaptica.net/zthes/41944	dominance	1.00	dominance	http://sweetontology.net/phenecology/dominance
http://synaptica.net/zthes/61459	doppler radar	1.00	doppler radar	http://sweetontology.net/matrinstrument/dopplerradar
http://synaptica.net/zthes/41961	dosage	1.00	dosage	http://sweetontology.net/propmass/dosage
http://synaptica.net/zthes/183067	dose	1.00	dose	http://sweetontology.net/propmass/dose
http://synaptica.net/zthes/41990	drainage	1.00	drainage	http://sweetontology.net/phenhydro/drainage
http://synaptica.net/zthes/42018	drought	1.00	drought	http://sweetontology.net/phenplanetclimate/drought
http://synaptica.net/zthes/183110	duration	1.00	duration	http://sweetontology.net/proptime/duration
http://synaptica.net/zthes/183110	duration	1.00	duration	http://sweetontology.net/reprtime/duration
http://synaptica.net/zthes/61491	dust	1.00	dust	http://sweetontology.net/matraerosol/dust
http://synaptica.net/zthes/42073	dynamic programming	1.00	dynamic programming	http://sweetontology.net/reprmathsolution/dynamicprogramming
