GCMD UID	GCMD term	Similarity	SWEET term	SWEET IRI
7c892333-f4c4-4f81-b825-d6a86e107e9f	methane	1.00	methane	http://sweetontology.net/matrorganiccompound/methane
35721fc2-a968-487f-ad85-6307a18e4af6	methyl cyanide	1.00	methyl cyanide	http://sweetontology.net/matrorganiccompound/methylcyanide
39c478bd-620e-455c-904d-4621965e376c	bromine monoxide	1.00	bromine monoxide	http://sweetontology.net/matrcompound/brominemonoxide
a56d397b-bff5-4a14-b54c-366470e023c7	chlorine dioxide	1.00	chlorine dioxide	http://sweetontology.net/matrcompound/chlorinedioxide
6f96d1bd-f6ba-437a-9079-c575c4822248	chlorine monoxide	1.00	chlorine monoxide	http://sweetontology.net/matrcompound/chlorinemonoxide
a9104127-6846-4123-8ab0-b65c61a0018d	chlorine nitrate	1.00	chlorine nitrate	http://sweetontology.net/matrcompound/chlorinenitrate
146a0a0b-1b42-41a6-b1f7-a27615b006a0	hydrogen chloride	1.00	hydrogen chloride	http://sweetontology.net/matrcompound/hydrogenchloride
ff9f8056-84d6-4fbc-abe0-9b6e82ed3f5e	hydrogen fluoride	1.00	hydrogen fluoride	http://sweetontology.net/matrcompound/hydrogenfluoride
27d63fe6-9970-46fd-9b22-a58e52efc57b	hypochlorous acid	1.00	hypochlorous acid	http://sweetontology.net/matrcompound/hypochlorousacid
9b6ca807-7719-48aa-864d-ebb45a519ff8	methyl bromide	1.00	methyl bromide	http://sweetontology.net/matrorganiccompound/methylbromide
676248f0-75cd-466d-93f1-351440027c82	methyl chloride	1.00	methyl chloride	http://sweetontology.net/matrorganiccompound/methylchloride
5b49fd6d-3759-4b61-8b04-8309f38b2f90	hydroxyl	1.00	hydroxyl	http://sweetontology.net/matrcompound/hydroxyl
6a745a5e-829c-43f5-8d5a-6fb549e7b81b	ammonia	1.00	ammonia	http://sweetontology.net/matrcompound/ammonia
9ca9519d-c62b-42ea-8c91-cad06cfc59cb	dinitrogen pentoxide	1.00	dinitrogen pentoxide	http://sweetontology.net/matrcompound/dinitrogenpentoxide
b7bbed0f-24a1-44d8-a10d-92541cd2c05b	nitric acid	1.00	nitric acid	http://sweetontology.net/matrcompound/nitricacid
82a60ed8-5414-4ce0-858c-c50b27b12bc8	nitric oxide	1.00	nitric oxide	http://sweetontology.net/matrcompound/nitricoxide
f8e65155-27c1-483e-a9b8-85399897c3ae	nitrogen dioxide	1.00	nitrogen dioxide	http://sweetontology.net/matrcompound/nitrogendioxide
cf08917f-4cef-456f-99b0-57dc468da877	nitrous oxide	1.00	nitrous oxide	http://sweetontology.net/matrcompound/nitrousoxide
61f4f3d0-7895-4cce-94e3-d249001d5ee8	molecular oxygen	1.00	molecular oxygen	http://sweetontology.net/matrelementalmolecule/molecularoxygen
dd316647-9043-40c3-9329-f22f9215fefa	ozone	1.00	ozone	http://sweetontology.net/matrelementalmolecule/ozone
bde65cfd-faec-4656-bc27-22dfe30912b7	carbonyl sulfide	1.00	carbonyl sulfide	http://sweetontology.net/matrcompound/carbonylsulfide
bde65cfd-faec-4656-bc27-22dfe30912b7	carbonyl sulfide	1.00	carbonyl sulfide	http://sweetontology.net/matrorganiccompound/carbonylsulfide
5d282de9-162a-4aeb-a48d-4569fbbd5205	dimethyl sulfide	1.00	dimethyl sulfide	http://sweetontology.net/matrorganiccompound/dimethylsulfide
2ab4134d-1ac7-4421-a7a6-659a542aff4c	sulfate	1.00	sulfate	http://sweetontology.net/matrcompound/sulfate
f5717312-c3ca-4492-a166-9f17c6d9b273	sulfur dioxide	1.00	sulfur dioxide	http://sweetontology.net/matrcompound/sulfurdioxide
1d527151-57b2-49ed-9937-c1756a704ce9	common sense climate index	1.00	common sense climate index	http://sweetontology.net/propindex/commonsenseclimateindex
d50d0685-f42f-4693-9458-eddb9ccf5704	wind chill index	1.00	wind chill index	http://sweetontology.net/proptemperature/windchillindex
86fb8a31-35f6-4d0e-b4b4-f9cecf961a47	dew point depression	1.00	dew point depression	http://sweetontology.net/proptemperature/dewpointdepression
17ce714a-bd7e-41a2-ab3d-4865832f1f0a	dry adiabatic lapse rate	1.00	dry adiabatic lapse rate	http://sweetontology.net/proptemperaturegradient/dryadiabaticlapserate
050771bb-27a3-4e47-bd1b-724d1d73e20c	environmental lapse rate	1.00	environmental lapse rate	http://sweetontology.net/proptemperaturegradient/environmentallapserate
a249c68f-8249-4285-aad2-020b3c5aefc3	relative humidity	1.00	relative humidity	http://sweetontology.net/propfraction/relativehumidity
811391d2-4113-4d52-9c88-47d56afda481	specific humidity	1.00	specific humidity	http://sweetontology.net/propfraction/specifichumidity
6045993e-a656-40c1-853c-9db1fbb49171	potential evapotranspiration	1.00	potential evapotranspiration	http://sweetontology.net/propspacethickness/potentialevapotranspiration
